"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"60","Tomo","56.11965811965812","Self modifying space invaders using ML. Also IR hand tracking to control, amount of hand closure affects rate of fire  | "
"58","Loopwise","52.452991452991455","Ride sharing optimization, use ML to find optimal radius to keep car in. Has some neatening to make sure areas of interest map to roadways | "
"17","Swipe my thesis","43.675213675213676","Tinder for research papers. Read and collaborate on it. | Seems like a simple solution of ML | "
"143","Prime Plot","43.34188034188034",""
"7","Flutter","42.23076923076923",""
"47","Civilization Reinforcement Learning Agent","41.61538461538461","AI bot to play simple territory claiming game. Rewards based on ""clever"" expansion techniques  | "
"77","SentiSense","40.179487179487175","Ai therapy. Emotion and voice transcription to give advice. | Cool idea but limited implementation  | "
"63","GatThree","37.452991452991455","Computer plugin with face tracking to get current emotion, provide supportive messages  | "
"45","Stardust Shenanigans","37.17094017094017","Minecraft still game, similar to minesweeper. | "
"108","F1NAB","35.957264957264954","F1 explainer bot, explains terminology in F1 culture. Basically just a specialized chat bot. Meh. | "
"140","Genetic algorithm Ai for solving","35.34188034188034",""
"149","Swarmy","20.05982905982906",""
"35","Handcut","15.333333333333334","Missing  | "
"32","Struct","8.837606837606836",""
"9","Sentiment Analysis from Text","8.0","Missing | "
"74","Muslim GPT","6.666666666666667","Missing  | "
"21","Stock Market Prediction using Sentiment analysis","6.504273504273503","Missing | "
"122","Librarian","6.333333333333333",""
"15","dewy","5.504273504273503",""
"16","Soccer Score Predictor","5.504273504273503",""
"44","ML and Finance","4.666666666666667",""
"129","Plant Watering Indicator","2.3333333333333335",""
