"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"60","Tomo","55.666666666666664","Self modifying space invaders using ML. Also IR hand tracking to control, amount of hand closure affects rate of fire  | "
"58","Loopwise","52.0","Ride sharing optimization, use ML to find optimal radius to keep car in. Has some neatening to make sure areas of interest map to roadways | "
"143","Prime Plot","45.333333333333336",""
"17","Swipe my thesis","43.0","Tinder for research papers. Read and collaborate on it. | Seems like a simple solution of ML | "
"47","Civilization Reinforcement Learning Agent","42.666666666666664","AI bot to play simple territory claiming game. Rewards based on ""clever"" expansion techniques  | "
"7","Flutter","41.666666666666664",""
"63","GatThree","41.0","Computer plugin with face tracking to get current emotion, provide supportive messages  | "
"77","SentiSense","39.333333333333336","Ai therapy. Emotion and voice transcription to give advice. | Cool idea but limited implementation  | "
"45","Stardust Shenanigans","37.333333333333336","Minecraft still game, similar to minesweeper. | "
"108","F1NAB","37.0","F1 explainer bot, explains terminology in F1 culture. Basically just a specialized chat bot. Meh. | "
"140","Genetic algorithm Ai for solving","36.666666666666664",""
"149","Swarmy","21.666666666666668",""
"35","Handcut","15.666666666666666","Missing  | "
"9","Sentiment Analysis from Text","7.0","Missing | "
"21","Stock Market Prediction using Sentiment analysis","7.0","Missing | "
"32","Struct","7.0",""
"74","Muslim GPT","7.0","Missing  | "
"122","Librarian","7.0",""
"15","dewy","4.666666666666667",""
"16","Soccer Score Predictor","4.666666666666667",""
"44","ML and Finance","4.666666666666667",""
"129","Plant Watering Indicator","2.3333333333333335",""
